strain,ID,base.medium,carbon,carbon.tech,Condition,anc.value,OD.600,raw,molecule.size,proportion.F
Banimlact,Anc,MP5,Monomer,F,anaerobic,0.44925,1.06,1060,1,1
Banimlact,Anc,MP5,Monomer,F,anaerobic,0.44925,0.637,637,1,1
Banimlact,Anc,MP5,Monomer,F,anaerobic,0.44925,0.745,745,1,1
Banimlact,Anc,MP5,Monomer,F,anaerobic,0.44925,1.166,1166,1,1
Banimlact,Anc,MP5,Monomer,F,anaerobic,0.44925,1.159,1159,1,1
Banimlact,Anc,MP5,Monomer,F,anaerobic,0.44925,0.997,997,1,1
Banimlact,Anc,MP5,Monomer,F,anaerobic,0.44925,1.136,1136,1,1
Banimlact,Anc,MP5,Monomer,F,anaerobic,0.44925,1.155,1155,1,1
Banimlact,Anc,MP5,Low-DP,G-F5,anaerobic,0.845625,1.24,1240,6,0.833333333
Banimlact,Anc,MP5,Low-DP,G-F5,anaerobic,0.845625,1.322,1322,6,0.833333333
Banimlact,Anc,MP5,Low-DP,G-F5,anaerobic,0.845625,1.216,1216,6,0.833333333
Banimlact,Anc,MP5,Low-DP,G-F5,anaerobic,0.845625,1.22,1220,6,0.833333333
Banimlact,Anc,MP5,Low-DP,G-F5,anaerobic,0.845625,1.337,1337,6,0.833333333
Banimlact,Anc,MP5,Low-DP,G-F5,anaerobic,0.845625,1.243,1243,6,0.833333333
Banimlact,Anc,MP5,Low-DP,G-F5,anaerobic,0.845625,1.198,1198,6,0.833333333
Banimlact,Anc,MP5,Low-DP,G-F5,anaerobic,0.845625,1.249,1249,6,0.833333333
Banimlact,Anc,MP5,High-DP,G-F24,anaerobic,0.265625,0.288,288,25,0.96
Banimlact,Anc,MP5,High-DP,G-F24,anaerobic,0.265625,0.319,319,25,0.96
Banimlact,Anc,MP5,High-DP,G-F24,anaerobic,0.265625,0.282,282,25,0.96
Banimlact,Anc,MP5,High-DP,G-F24,anaerobic,0.265625,0.33,330,25,0.96
Banimlact,Anc,MP5,High-DP,G-F24,anaerobic,0.265625,0.232,232,25,0.96
Banimlact,Anc,MP5,High-DP,G-F24,anaerobic,0.265625,0.304,304,25,0.96
Banimlact,Anc,MP5,High-DP,G-F24,anaerobic,0.265625,0.292,292,25,0.96
Banimlact,Anc,MP5,High-DP,G-F24,anaerobic,0.265625,0.308,308,25,0.96
Banimlact,Anc,MP5,,G-F,anaerobic,1.276375,1.387,1387,2,0.5
Banimlact,Anc,MP5,,G-F,anaerobic,1.276375,1.463,1463,2,0.5
Banimlact,Anc,MP5,,G-F,anaerobic,1.276375,1.283,1283,2,0.5
Banimlact,Anc,MP5,,G-F,anaerobic,1.276375,1.351,1351,2,0.5
