coverage	n
1	166
2	180
3	166
4	355
5	394
6	481
7	594
8	694
9	759
10	793
11	963
12	1054
13	1181
14	1316
15	1538
16	1738
17	1628
18	1766
19	1819
20	2007
21	2278
22	2457
23	2661
24	2912
25	3312
26	3618
27	3788
28	4187
29	4665
30	4760
31	5295
32	5629
33	6135
34	6611
35	7282
36	7820
37	8380
38	9316
39	9493
40	10319
41	10781
42	11586
43	12421
44	13290
45	14135
46	14959
47	16033
48	16781
49	17547
50	18254
51	19265
52	20377
53	20763
54	21434
55	22341
56	23171
57	24202
58	24711
59	25536
60	26161
61	26864
62	27497
63	27974
64	28445
65	29039
66	29047
67	29117
68	29718
69	29693
70	29572
71	30214
72	30081
73	29742
74	29761
75	29840
76	29979
77	29691
78	29111
79	28787
80	28151
81	27816
82	27538
83	26848
84	26735
85	25906
86	25060
87	24720
88	24393
89	23441
90	22929
91	22266
92	21712
93	20998
94	20550
95	19865
96	19036
97	18189
98	17726
99	17200
100	16755
101	15823
102	15647
103	15008
104	14487
105	13820
106	13666
107	13363
108	12281
109	12044
110	11518
111	11327
112	10462
113	9900
114	9831
115	9200
116	8678
117	8399
118	7992
119	7754
120	7282
121	6814
122	6634
123	6165
124	5750
125	5598
126	5208
127	5049
128	4953
129	4719
130	4237
131	4141
132	4016
133	3887
134	3535
135	3445
136	3169
137	3062
138	2889
139	2739
140	2654
141	2492
142	2317
143	2179
144	2054
145	2058
146	1878
147	1887
148	1696
149	1608
150	1612
151	1410
152	1464
153	1272
154	1207
155	1165
156	1114
157	1099
158	1011
159	930
160	941
161	873
162	848
163	818
164	672
165	675
166	643
167	581
168	569
169	528
170	472
171	433
172	434
173	376
174	338
175	320
176	288
177	322
178	293
179	242
180	241
181	272
182	243
183	211
184	195
185	180
186	179
187	150
188	170
189	138
190	127
191	128
192	114
193	112
194	124
195	112
196	103
197	110
198	107
199	94
200	81
201	83
202	74
203	51
204	53
205	63
206	66
207	54
208	59
209	56
210	48
211	40
212	39
213	37
214	27
215	41
216	25
217	43
218	32
219	16
220	19
221	23
222	19
223	15
224	16
225	14
226	21
227	12
228	16
229	19
230	4
231	18
232	11
233	10
234	1
235	4
236	5
237	3
238	4
239	3
240	0
241	3
242	2
243	1
244	0
245	1
246	1
247	2
248	1
249	2
250	0
251	1
252	1
253	2
254	1
255	0
256	0
257	0
258	0
259	0
260	1
261	0
262	1
263	0
264	1
265	0
266	1
267	1
268	1
